setup_id,count_financial_results,max_severity_financial_results,sentiment_score_financial_results,profit_warning,count_corporate_actions,max_severity_corporate_actions,sentiment_score_corporate_actions,capital_raise,count_governance,max_severity_governance,sentiment_score_governance,board_change,count_corporate_events,max_severity_corporate_events,sentiment_score_corporate_events,contract_award,merger_acquisition,count_other_signals,max_severity_other_signals,sentiment_score_other_signals,broker_recommendation,credit_rating_change,posts_avg_sentiment,post_count,community_sentiment_score,bull_bear_ratio,rumor_intensity,trusted_user_sentiment,posts_relevance,engagement_score,unique_users,contrarian_signal_numeric,recommendation_count,buy_recommendations,sell_recommendations,hold_recommendations,coverage_breadth,consensus_rating,recent_upgrades,recent_downgrades,analyst_conviction_score,label
CORD_2025-06-19,1,0.0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,1.0,0.0,1,0,120,600,0,120,3,2.0,0,0,0.8,negative
III_2025-05-30,3,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.31111112,42,0.0,0.6666667,0.16666667,0.0,0.7,0.6333333,13,0,63,504,0,126,3,2.0,0,0,0.9,neutral
CNSL_2025-05-27,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.1954023,29,0.0,0.0,0.0,0.0,0.5,0.3,18,0,16,0,0,0,1,3.0,0,0,0.0,negative
NIOX_2025-05-20,0,0.0,0.0,0,1,0.0,0.5,0,3,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.3809524,42,0.0,0.6666667,0.16666667,0.0,0.73333335,0.5,16,0,12,60,0,0,3,2.0,0,0,0.83,positive
BRBY_2025-05-14,1,0.5,0.1,1,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.75,8,0.0,0.0,0.0,0.0,0.5,0.5,5,0,60,402,210,498,4,2.5,0,0,0.5,positive
MTRO_2025-05-08,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.6,22,0.0,0.5,0.25,0.0,0.65,0.3,11,0,30,30,50,40,3,3.0,0,5,0.3,positive
CNSL_2025-04-10,0,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.21568628,17,0.0,0.0,0.0,0.0,0.5,0.5,10,0,16,0,0,0,1,3.0,0,0,0.0,negative
PAY_2025-04-04,0,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1.0,1,0.0,1.0,0.0,0.0,0.7,0.5,1,0,87,203,87,0,3,3.0,7,3,0.4,neutral
SHC_2025-04-03,2,0.0,0.0,0,0,0.0,0.0,0,3,0.0,0.0,1,2,0.0,0.0,0,1,0,0.0,0.0,0,0,1.0,2,0.0,1.0,0.0,0.0,0.8,0.5,1,0,102,816,0,204,3,2.0,0,0,0.8,neutral
LAND_2025-04-02,0,0.0,0.0,0,1,0.0,0.0,0,1,0.5,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1.0,2,0.0,1.0,0.0,0.0,0.8,0.5,2,0,27,243,0,189,3,2.0,0,0,0.9,positive
